source,citation
CS2_FRA,"@article{CS2_FRA, author = {Levy-Garboua, Vivien and Monnet, Eric}, title = {Les Taux d'Intérêts en France: Une Perspective Historique}, journal = {Revue d'économie financière}, year = {2016}, volume = {1}, number = {121}, pages = {35--58} }"
CS1_GBR,"@misc{CS1_GBR, author = {Thomas, R and Dimsdale, N}, title = {A Millennium of UK Data}, year = {2017}, publisher = {Bank of England OBRA}, url = {https://www.bankofengland.co.uk/statistics/research-datasets}, note = {Accessed: 2024-06-18} }"
CS1_IDN,"@misc{CS1_IDN, author = {{Bank Indonesia}}, title = {Statistical Data}, year = {2024} }"
CS1_ISL,"@misc{CS1_ISL, title = {Iceland Historical Statistics}, author = {{Statistics Iceland}}, year = {1997}, note = {Statistics of Iceland III, Vol 82, ISSN: 1670-4770}, url = {https://www.statice.is/publications/publication-detail?id=54438}, note = {Accessed: 2024-04-21} }"
CS2_ISL,"@book{CS2_ISL, author = {Statistics Iceland}, title = {Hagskinna—Icelandic Historical Statistics from the 17th Century to 1990}, year = {1997}, address = {Reykjavík}, publisher = {Hagstofa Íslands}, url = {https://baekur.is/bok/8f318e69-dc49-4a9f-a8ec-805b2352bad0}, note = {Accessed: 2024-07-08} }"
CS1_ITA,"@incollection{CS1_ITA, author = {Baffigi, Alberto}, title = {National Accounts, 1861-2011}, booktitle = {The Oxford Handbook of the Italian Economy Since Unification}, editor = {Toniolo, Gianni}, year = {2013}, publisher = {Oxford University Press}, address = {Oxford}, chapter = {2}, pages = {157--186}, doi = {10.1093/oxfordhb/9780199936694.001.0001}, url = {https://www.bancaditalia.it/pubblicazioni/quaderni-storia/2011-0018/index.html}, note = {Dataset: La contabilità nazionale dell'Italia, 1861-2011. Accessed: 2024-07-04} }"
CS2_ITA,"@techreport{CS2_ITA, author = {Piselli, Paola and Vercelli, Fabio}, title = {I Titoli Pubblici nei Bilanci delle Banche 1890-2016}, institution = {Banca d’Italia}, series = {Quaderno di Storia Economica}, year = {2023}, note = {Di prossima pubblicazione (forthcoming)} }"
CS1_JPN,"@misc{CS1_JPN, author = {{Bank of Japan}}, institution = {{Institute for Monetary and Economic Studies}}, title = {{Historical Statistics}}, year = {2024}, url = {https://www.imes.boj.or.jp/en/historical/hstat/hstat.html} }"
CS1_KOR,"@book{CS1_KOR, editor = {Cha, M. S. and Kim, N. N. and Park, K. J. and Park, Y.}, title = {Historical Statistics of Korea}, year = {2022}, publisher = {Springer}, url = {https://d-infra.ier.hit-u.ac.jp/English/ltes/a000-asia-long-kr.html}, note = {Accessed: 2024-05-13} }"
CS1_LBR,"@misc{CS1_LBR, author = {{African Economic History Network}}, title = {AEHN Data \& Research}, year = {2024}, url = {https://www.aehnetwork.org/data-research/} }"
CS1_MAR,"@misc{CS1_MAR, author = {{Bank Al-Maghrib}}, title = {Séries Statistiques Monétaires}, url = {https://www.bkam.ma/Statistiques/Statistiques-monetaires/Series-statistiques-monetaires} }"
CS1_NOR,"@article{CS1_NOR, author = {Grytten, O. H.}, title = {Revising Growth History: New Estimates of GDP for Norway, 1816-2019}, journal = {The Economic History Review}, volume = {75}, number = {1}, pages = {181-202}, year = {2022}, url = {https://onlinelibrary.wiley.com/doi/ftr/10.1111/ehr.13085}, note = {Accessed: 2024-04-21} }"
CS2_NOR,"@misc{CS2_NOR, author = {{Norges Bank}}, title = {Historical Monetary Statistics for Norway}, url = {https://www.norges-bank.no/en/topics/Statistics/Historical-monetary-statistics/}, note = {Accessed: 2024-07-08} }"
CS1_POL,"@misc{CS1_POL, author = {{Statistics Poland}}, title = {Statistical Data}, year = {2024} }"
CS1_PRT,"@book{CS1_PRT, author = {{Instituto Nacional de Estatística}}, title = {Portuguese Historical Statistics}, year = {2001}, address = {Lisboa}, publisher = {INE}, url = {https://www.ine.pt/xurl/pub/138364}, isbn = {972-673-477-0 and 972-673-478-9} }"
