ISO3,countryname,year,HPI,BIS,DALLASFED,EUS,JST,OECD,CS1,CS2,chainlinking_ratio,source,source_change
BEL,Belgium,2003,66.788696,66.78870000000001,62.61167782638883,,62.19068370746849,59.7606528827978,,,1,BIS,
BEL,Belgium,1955,3.7261758,,,,3.387995784451074,,,,1.0998172,JST,
BEL,Belgium,1924,.66307193,,,,.6028928668655681,,,,1.0998172,JST,
BEL,Belgium,1986,23.4025,23.4025,21.95686846589048,,21.72782841571667,21.1559631379962,,,1,BIS,
BEL,Belgium,1975,14.4375,14.4375,12.95488734977708,,12.20448481444308,12.6485418241966,,,1,BIS,
BEL,Belgium,1929,1.4955155,,,,1.359785542115276,,,,1.0998172,JST,
BEL,Belgium,1905,.15537284,,,,.1412715099825045,,,,1.0998172,JST,
BEL,Belgium,1903,.1482175,,,,.1347655851806787,,,,1.0998172,JST,
BEL,Belgium,1976,17.496599,17.4966,15.85128650230173,,15.13233565983203,15.3269057971015,,,1,BIS,
BEL,Belgium,2013,107.5684,107.5684,104.6058567145524,98.34,106.6562510586167,98.9620000000001,,,1,BIS,
BEL,Belgium,1895,.13186246,,,,.1198948999193624,,,,1.0998172,JST,
BEL,Belgium,1950,3.1640062,,,,2.876847484282441,,,,1.0998172,JST,
BEL,Belgium,1973,10.7328,10.7328,,,9.19106791803493,9.523478732504049,,,1,BIS,
BEL,Belgium,1915,,,,,,,,,1.0998172,JST,
BEL,Belgium,1881,.13370241,,,,.1215678520112605,,,,1.0998172,JST,
BEL,Belgium,1940,.97118413,,,,.8830414544579926,,,,1.0998172,JST,
BEL,Belgium,1920,.26847205,,,,.2441060792472001,,,,1.0998172,JST,
BEL,Belgium,1999,52.1259,52.1259,50.49352613929746,,50.52246710429174,47.5405028355388,,,1,BIS,
BEL,Belgium,1938,.96037316,,,,.8732116794547495,,,,1.0998172,JST,
BEL,Belgium,1925,.65045917,,,,.5914247960284512,,,,1.0998172,JST,
BEL,Belgium,1906,.15332845,,,,.13941267432484,,,,1.0998172,JST,
BEL,Belgium,1977,20.655399,20.6554,18.79257046955501,,17.99853484536009,17.8459959042218,,,1,BIS,
BEL,Belgium,1960,4.5694304,,,,4.154718234704024,,,,1.0998172,JST,
BEL,Belgium,1967,8.2503605,,,,7.501574590437823,,,,1.0998172,JST,
BEL,Belgium,1987,24.8454,24.8454,23.05554305167179,,23.02123327793993,22.5088756301197,,,1,BIS,
BEL,Belgium,1994,42.0993,42.0993,39.88038306673572,,39.83918669918746,38.165313563327,,,1,BIS,
BEL,Belgium,1901,.15128407,,,,.1375538386671755,,,,1.0998172,JST,
BEL,Belgium,1886,.12164058,,,,.1106007216310397,,,,1.0998172,JST,
BEL,Belgium,1927,.94235498,,,,.8568287211160112,,,,1.0998172,JST,
BEL,Belgium,1957,4.2541108,,,,3.868016463776105,,,,1.0998172,JST,
BEL,Belgium,1984,21.6693,21.6693,20.07096617957367,,20.35944239278877,19.9183868935098,,,1,BIS,
BEL,Belgium,1990,34.014,34.014,30.8624771968208,,30.72587536347966,30.6263505828608,,,1,BIS,
BEL,Belgium,1919,.21261545,,,,.1933189083971115,,,,1.0998172,JST,
BEL,Belgium,2009,98.004898,98.00490000000001,95.1864640800186,88.56,95.02519610831786,89.18300000000001,,,1,BIS,
BEL,Belgium,1882,.15567948,,,,.1415503353311542,,,,1.0998172,JST,
